PACKAGE_NAME,Risk,Forced Risk High (Preinstall),PROB_MALICIOUS,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10
abtnode__logger-1.17.2,LOW,No,0.05077,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.67%; severity=0.90% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.56%; severity=0.33% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.52%; severity=0.28% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.49%; severity=0.28% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.26%; severity=0.27% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.63%; severity=0.13% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.59%; severity=0.13% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.48%; severity=0.13% (=share*prob)
actions__artifact-4.0.0,LOW,No,0.04992,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=15.98%; severity=0.80% (=share*prob),C3_net_generic_request; lin=0.19640; quad=-0.00516; raw=0.19124; share=6.04%; severity=0.30% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=5.93%; severity=0.30% (=share*prob),C3_net_generic_request_density; lin=-0.05823; quad=-0.11007; raw=-0.16830; share=5.31%; severity=0.27% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=4.97%; severity=0.25% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=4.75%; severity=0.24% (=share*prob),C1_skipped_invalid_urls_density; lin=-0.05136; quad=-0.03966; raw=-0.09102; share=2.87%; severity=0.14% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.58%; severity=0.13% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.58%; severity=0.13% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.38%; severity=0.12% (=share*prob)
actions__attest-2.0.0,LOW,No,0.00029,C1_skipped_invalid_urls_density; lin=-0.40631; quad=-2.48258; raw=-2.88888; share=36.31%; severity=0.01% (=share*prob),C1_DEV_HOST_density; lin=-0.09207; quad=-0.90789; raw=-0.99996; share=12.57%; severity=0.00% (=share*prob),C1_raw_url_hits_density; lin=-0.17875; quad=-0.39029; raw=-0.56904; share=7.15%; severity=0.00% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=6.36%; severity=0.00% (=share*prob),C1_domain_url_hits_density; lin=-0.12079; quad=-0.22655; raw=-0.34734; share=4.37%; severity=0.00% (=share*prob),C1_valid_url_hits_density; lin=-0.11943; quad=-0.22236; raw=-0.34179; share=4.30%; severity=0.00% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=2.36%; severity=0.00% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=1.98%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=1.89%; severity=0.00% (=share*prob),C3_net_generic_request; lin=-0.12799; quad=-0.00219; raw=-0.13018; share=1.64%; severity=0.00% (=share*prob)
actions__cache-4.1.0,MEDIUM,No,0.06077,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=18.14%; severity=1.10% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.73%; severity=0.41% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.64%; severity=0.34% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.40%; severity=0.33% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.93%; severity=0.18% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.93%; severity=0.18% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.70%; severity=0.16% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.66%; severity=0.16% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.54%; severity=0.15% (=share*prob),C1_API_WEBHOOK_SITE; lin=-0.06509; quad=-0.00268; raw=-0.06777; share=2.43%; severity=0.15% (=share*prob)
actions__core-1.11.1,LOW,No,0.04036,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=16.86%; severity=0.68% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.25%; severity=0.25% (=share*prob),C1_DEV_HOST_density; lin=-0.03585; quad=-0.13767; raw=-0.17353; share=5.78%; severity=0.23% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.27%; severity=0.21% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.24%; severity=0.21% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.01%; severity=0.20% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.73%; severity=0.11% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.73%; severity=0.11% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.51%; severity=0.10% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.47%; severity=0.10% (=share*prob)
actions__exec-1.1.1,LOW,No,1e-05,A1_command_variable; lin=0.18223; quad=-4.05914; raw=-3.87691; share=34.73%; severity=0.00% (=share*prob),A1_command_variable_density; lin=0.10340; quad=-2.00994; raw=-1.90654; share=17.08%; severity=0.00% (=share*prob),C3_proc_child_exec; lin=0.08308; quad=-1.67788; raw=-1.59480; share=14.29%; severity=0.00% (=share*prob),C3_proc_child_exec_density; lin=0.07857; quad=-0.98133; raw=-0.90276; share=8.09%; severity=0.00% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=4.54%; severity=0.00% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=1.68%; severity=0.00% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=1.42%; severity=0.00% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=1.41%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=1.35%; severity=0.00% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=0.73%; severity=0.00% (=share*prob)
actions__github-6.0.1,LOW,No,0.00128,C1_skipped_invalid_urls_density; lin=-0.42039; quad=-2.65758; raw=-3.07796; share=47.63%; severity=0.06% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=7.84%; severity=0.01% (=share*prob),C1_DEV_HOST_density; lin=-0.06009; quad=-0.38674; raw=-0.44684; share=6.92%; severity=0.01% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=2.91%; severity=0.00% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=2.45%; severity=0.00% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=2.44%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=2.33%; severity=0.00% (=share*prob),C1_raw_url_hits_density; lin=-0.06426; quad=-0.05044; raw=-0.11470; share=1.78%; severity=0.00% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=1.27%; severity=0.00% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=1.27%; severity=0.00% (=share*prob)
actions__glob-0.5.0,LOW,No,0.05068,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.68%; severity=0.90% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.56%; severity=0.33% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.52%; severity=0.28% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.50%; severity=0.28% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.26%; severity=0.27% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.14% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.14% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.63%; severity=0.13% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.59%; severity=0.13% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.48%; severity=0.13% (=share*prob)
actions__io-2.0.0,LOW,No,0.04441,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=14.45%; severity=0.64% (=share*prob),C1_DEV_HOST_density; lin=-0.05178; quad=-0.28719; raw=-0.33897; share=9.67%; severity=0.43% (=share*prob),C1_CLOUD_PROVIDER_density; lin=0.35453; quad=-0.05377; raw=0.30076; share=8.58%; severity=0.38% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=5.36%; severity=0.24% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=4.51%; severity=0.20% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=4.49%; severity=0.20% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=4.30%; severity=0.19% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.34%; severity=0.10% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.34%; severity=0.10% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.15%; severity=0.10% (=share*prob)
actions__tool-cache-2.0.2,MEDIUM,No,0.05107,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.67%; severity=0.90% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.55%; severity=0.33% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.52%; severity=0.28% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.49%; severity=0.28% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.25%; severity=0.27% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.15% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.63%; severity=0.13% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.59%; severity=0.13% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.48%; severity=0.13% (=share*prob)
adobe__aio-cli-lib-app-config-4.1.0,LOW,No,0.04598,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.66%; severity=0.81% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.55%; severity=0.30% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.52%; severity=0.25% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.49%; severity=0.25% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.25%; severity=0.24% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.13% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.86%; severity=0.13% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.63%; severity=0.12% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.59%; severity=0.12% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.47%; severity=0.11% (=share*prob)
adobe__aio-lib-console-5.4.2,MEDIUM,No,0.05529,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.87%; severity=0.99% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.63%; severity=0.37% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.56%; severity=0.31% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.31%; severity=0.29% (=share*prob),C3_net_generic_request; lin=-0.12799; quad=-0.00219; raw=-0.13018; share=4.59%; severity=0.25% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.89%; severity=0.16% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.89%; severity=0.16% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.66%; severity=0.15% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.62%; severity=0.14% (=share*prob),E2_bin_ge_1000000; lin=-0.05499; quad=-0.01598; raw=-0.07097; share=2.50%; severity=0.14% (=share*prob)
adobe__aio-lib-core-networking-5.1.0,LOW,No,0.00381,C3_net_fetch_density; lin=-0.43046; quad=-0.99177; raw=-1.42223; share=26.49%; severity=0.10% (=share*prob),A3_SECRETS_density; lin=0.20587; quad=-1.16161; raw=-0.95574; share=17.80%; severity=0.07% (=share*prob),E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=9.43%; severity=0.04% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=3.50%; severity=0.01% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=2.95%; severity=0.01% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=2.93%; severity=0.01% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=2.81%; severity=0.01% (=share*prob),C1_domain_url_hits_density; lin=-0.05074; quad=-0.03997; raw=-0.09070; share=1.69%; severity=0.01% (=share*prob),C1_valid_url_hits_density; lin=-0.05010; quad=-0.03913; raw=-0.08923; share=1.66%; severity=0.01% (=share*prob),C1_raw_url_hits_density; lin=-0.05143; quad=-0.03231; raw=-0.08373; share=1.56%; severity=0.01% (=share*prob)
adobe__aio-lib-customer-profile-3.0.2,MEDIUM,No,0.06017,E2_ext_ge_10000; lin=-0.44060; quad=-0.06576; raw=-0.50636; share=17.29%; severity=1.04% (=share*prob),F1_scripts_block; lin=-0.07748; quad=-0.11041; raw=-0.18789; share=6.42%; severity=0.39% (=share*prob),C3_net_generic_request; lin=-0.15502; quad=-0.00322; raw=-0.15824; share=5.40%; severity=0.33% (=share*prob),B2_total_providers; lin=-0.14603; quad=-0.01144; raw=-0.15746; share=5.38%; severity=0.32% (=share*prob),E2_ext_ge_100000; lin=-0.09777; quad=-0.05285; raw=-0.15062; share=5.14%; severity=0.31% (=share*prob),C2_dev_code_host; lin=0.13391; quad=-0.00812; raw=0.12579; share=4.30%; severity=0.26% (=share*prob),B2_total_events; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.80%; severity=0.17% (=share*prob),B2_OTHER; lin=-0.08370; quad=0.00182; raw=-0.08188; share=2.80%; severity=0.17% (=share*prob),D1_publish; lin=0.07506; quad=0.00031; raw=0.07537; share=2.57%; severity=0.15% (=share*prob),A2_decode_variable; lin=0.07406; quad=0.00010; raw=0.07416; share=2.53%; severity=0.15% (=share*prob)
